CustomerID,Name,Age,Income,Location,Email,Phone,Gender,ProductCategory,SpendingScore,LoyaltyScore
51019,Stephanie Richardson,61,36237,New Heatherfurt,solomondean@example.org,557.523.6515x072,Male,Sports,59,41
54049,Taylor Whitehead,45,34705,Nicholashaven,hortonjames@example.com,(386)799-9905,Male,Sports,43,96
55665,Richard Bright,59,107681,Cameronstad,jennifer00@example.org,303-851-6730x051,Female,Fashion,9,43
55554,Tonya Martinez,54,113609,Gutierrezshire,james03@example.com,001-245-655-6643x9119,Female,Electronics,57,77
74999,Jose Thompson,49,108760,New Garytown,kennethhayes@example.org,(457)570-5728x76486,Female,Beauty,41,37
76350,Mckenzie Beltran,56,84881,Woodhaven,sarah51@example.net,558-602-0002x74427,Female,Sports,95,11
51474,Barbara Obrien,72,93256,South Alexander,shannon63@example.net,(411)344-4176x980,Male,Electronics,48,54
99830,Mr. Jeffery Bender,36,80324,Timothyland,floydpeter@example.com,+1-215-785-2274,Female,Electronics,50,85
40504,Rachel Parker,72,44358,Jonesburgh,julie62@example.net,001-896-476-1432x1729,Male,Food,71,26
8360,George Davis,43,66512,Lake Elizabethside,williamedwards@example.net,465-409-9848,Female,Fashion,63,41
61062,Heather Wallace,55,66105,Jamiefort,qgalloway@example.org,506.219.5113,Female,Sports,51,62
63760,Robert Ortiz,30,96831,South Margaretfurt,patriciawalker@example.org,001-792-956-7143x310,Female,Electronics,96,96
86904,Richard Johnson,48,31756,Williamstown,romerorenee@example.net,869-864-5698x08852,Male,Sports,87,13
45813,Nancy Kelley,25,114889,Mooneyton,jennifertaylor@example.org,(445)713-7499x73878,Male,Beauty,26,74
42787,Manuel Walters,70,83182,West Katherine,jonathan82@example.net,(598)717-9816,Male,Sports,45,83
9464,Kevin Sherman,74,105095,Port Joyceview,joshua17@example.org,001-642-933-5680,Male,Electronics,45,30
63142,Jacqueline Vaughan,19,110859,New Natalie,wroberts@example.com,755.563.0675x65029,Male,Sports,50,57
91216,Courtney Cooper,57,30395,East Grantport,jessica66@example.net,435.246.2799,Male,Sports,13,93
5229,Dawn Fuller,70,119054,Lake Joyhaven,sonia18@example.com,(704)659-8117x2386,Male,Beauty,77,31
47696,Kimberly Sutton,44,62587,East Reneeville,jeff90@example.com,+1-265-680-3326x2777,Female,Electronics,47,100
18402,Evelyn Gay,51,58721,Laurenburgh,jonathan06@example.com,(540)220-1347,Male,Food,5,72
93555,Douglas Miller,43,100794,Richardberg,vdennis@example.com,337-938-5460x58960,Male,Sports,100,87
55369,Heather Pena,38,79976,Maxwellstad,robertosmith@example.org,726.403.3318x372,Female,Electronics,91,90
86445,Edward Luna,75,70669,Port Seanfort,stephanieharper@example.net,001-507-315-3141,Male,Electronics,46,63
69643,Keith Gonzales DVM,25,98141,West Stacybury,erivera@example.net,563-461-5002,Male,Beauty,50,65
78858,James Gaines,68,90494,East William,johnsonjonathan@example.net,664-314-9052,Female,Electronics,83,28
82586,Paul Elliott,73,42515,Port Jessicaberg,amelton@example.com,(674)430-0982,Male,Beauty,26,56
80575,Jennifer James,77,104293,West Emily,billy23@example.org,+1-762-431-2987x548,Male,Sports,90,71
55172,Ashley Ortiz,35,83381,Powellshire,zcamacho@example.org,+1-394-690-7678,Female,Sports,58,59
73825,Jennifer Robinson,24,85050,Vincentton,pbernard@example.net,(257)783-5949,Female,Fashion,18,45
96571,David Flores,37,67516,West Aaron,ambersantiago@example.com,001-751-241-4783x4583,Female,Sports,34,64
25065,Deanna Garza,79,109227,Michaelfort,santanajoseph@example.com,001-482-883-4497x87016,Male,Sports,38,84
78745,Juan Jones,48,75353,New Alexshire,hrandall@example.net,001-500-412-8174x7019,Female,Food,72,97
1240,Adrian Ramos,29,59019,New Kathymouth,melissaroberts@example.org,6983417526,Male,Electronics,98,50
27505,Nicholas Wells,64,34774,Garciahaven,christian02@example.com,001-356-997-7669,Male,Electronics,6,53
31359,Rebecca Mcfarland,25,76746,North Elizabeth,adamsronald@example.net,673-912-4139x155,Male,Sports,30,29
20599,George Villarreal,72,34596,Kimberlyport,krystalwilliams@example.net,(452)850-1235x53267,Female,Sports,40,68
1380,Dawn Walters,34,78439,New Tracy,rosekatherine@example.com,935-842-1399,Male,Sports,43,24
8707,Whitney Lewis,29,74134,North Robertville,andreacox@example.org,585-257-3941x38126,Female,Beauty,6,98
16229,William Hoffman,31,119877,Hoburgh,chayes@example.org,(625)837-1028x39765,Female,Beauty,31,83
97516,Vanessa Norris,66,81227,Pratthaven,nelsoncatherine@example.net,+1-255-639-1889,Female,Beauty,24,43
78401,Andrew Tucker MD,31,80886,Howardfurt,jasoncampbell@example.org,3835799462,Male,Electronics,30,7
71359,Brian Nguyen,75,110155,Johnsonhaven,lewislaura@example.org,6519293398,Female,Electronics,19,98
49919,Christina House,18,93173,Johnsonmouth,kgutierrez@example.org,(933)291-0985x663,Male,Beauty,44,92
73738,Daniel Jimenez,24,69753,North Tracy,bradleyjones@example.net,695-982-7999,Female,Sports,57,27
77690,Lori Melendez,73,92288,Elizabethtown,lking@example.net,261-861-7057x29052,Male,Beauty,88,95
35140,Alan Johnson,36,57205,Kristinfort,pennycrawford@example.net,+1-472-908-2464x47385,Female,Beauty,80,55
83652,James Mills,74,85555,South Sharon,stephen82@example.net,001-760-276-8740,Female,Sports,65,72
49007,Margaret Davis,62,67330,Dunnton,jermainebrown@example.org,6765221899,Female,Beauty,74,7
94201,Karen Baker,21,32597,New Kenneth,colleenramirez@example.org,001-950-973-3377,Female,Food,40,15
94555,Eddie Young,68,89395,Jacksonview,kelsey50@example.com,441-724-8346x7837,Male,Electronics,44,66
5513,Joshua Mason,38,30665,Jonestown,iwilliams@example.net,+1-780-351-6808x87992,Female,Beauty,49,83
70464,David Simpson,36,113748,West Christopher,rachelhowe@example.net,395.658.0455x716,Male,Food,64,76
48168,William Black,43,54414,Taraport,espinozadaniel@example.org,001-590-895-3337x8788,Male,Fashion,13,4
20930,John Austin,48,62036,South Pamela,nicholas07@example.com,+1-964-321-1908,Male,Fashion,32,77
73382,Tina Christensen,32,42097,West Tracihaven,sgonzalez@example.org,248-860-0365x485,Female,Electronics,12,61
19474,Diana Lin,38,66365,Port Christineview,yjacobson@example.com,(604)438-2208x619,Male,Beauty,46,45
73564,David Moore,35,38708,Port Lori,garciamichael@example.com,001-223-203-5443x08328,Female,Food,7,4
74716,Kaitlyn Castro,62,32305,Lake Karenfort,rmiller@example.net,526.448.5492x52043,Male,Beauty,1,14
97985,Cindy Mcguire,43,74629,New Chelsea,stacey44@example.net,(675)653-4034x2048,Female,Food,3,44
55639,Henry Hicks,50,118136,Ashleyton,nlloyd@example.org,001-687-343-0023x19769,Female,Electronics,1,90
54238,Mary Oconnor,26,66466,Saraton,amy40@example.org,(590)807-9057,Female,Sports,83,96
74870,Anna Lee,42,75179,Margaretmouth,daviselizabeth@example.net,(964)203-7482x5285,Female,Sports,96,16
41025,Kristina Lamb,30,105003,East Donaldview,davisbrandi@example.com,457-670-1901,Male,Beauty,70,78
58704,Alex Wallace,57,70844,West Jonathan,kathrynmcbride@example.net,818-612-4878,Female,Fashion,31,72
17795,Michael Blankenship,60,107155,Madisonburgh,taylorkimberly@example.net,6396460747,Female,Electronics,71,94
10090,Tiffany Larson,65,116213,West Kyle,lmiller@example.org,669.929.6782x63418,Female,Sports,37,76
23190,Alec Garcia,52,92451,East Erinton,steven25@example.net,001-735-959-0362x787,Male,Food,35,42
87256,Jacob Harrington,72,52547,Dariusbury,pparrish@example.org,740-374-8060,Male,Food,44,9
54251,Grant Stevens,60,30248,West Stevenville,jacksonthomas@example.net,001-515-876-1422x2229,Male,Sports,65,13
25461,Robert Terrell,55,57762,Carlsonmouth,luke52@example.org,564.595.4036x8961,Male,Fashion,54,77
16083,Johnny Stewart,29,44910,Hannahmouth,snydermargaret@example.com,(288)358-3484x064,Male,Fashion,11,16
88819,Eileen Martinez,72,57753,East Patty,jessica02@example.net,+1-506-413-1960x85436,Female,Electronics,9,73
82313,Misty Greene,41,102972,New Rebecca,nrandall@example.org,(364)425-2700,Female,Sports,68,93
6729,James Galvan,43,60718,Lake Carolland,lwilson@example.org,001-488-317-0585,Male,Beauty,35,1
80961,Amber Wright,64,50497,Lake Angela,jacqueline51@example.com,620-935-5687x9525,Female,Beauty,41,49
